"","x","y","num_shots","num_made","prop_made","avg_points","total_points"
"206",9,51,1,0,0,0,0
"207",10,4,2,2,1,2,4
"208",10,5,6,2,0.333333333333333,0.666666666666667,4
"209",10,6,8,3,0.375,0.75,6
"210",10,7,10,4,0.4,0.8,8
"211",10,8,9,6,0.666666666666667,1.33333333333333,12
"212",10,9,12,5,0.416666666666667,0.833333333333333,10
"213",10,10,3,0,0,0,0
"214",10,11,7,5,0.714285714285714,1.42857142857143,10
"215",10,12,4,2,0.5,1,4
"216",10,13,8,3,0.375,0.75,6
"217",10,14,5,2,0.4,0.8,4
"218",10,15,8,4,0.5,1,8
"219",10,16,10,7,0.7,1.4,14
"220",10,17,9,2,0.222222222222222,0.444444444444444,4
"221",10,18,9,3,0.333333333333333,0.666666666666667,6
"222",10,19,6,0,0,0,0
"223",10,20,5,0,0,0,0
"224",10,21,10,5,0.5,1,10
"225",10,22,4,2,0.5,1,4
"226",10,24,2,1,0.5,1,2
"227",10,25,10,2,0.2,0.6,6
"228",10,26,19,5,0.263157894736842,0.789473684210526,15
"229",10,27,21,5,0.238095238095238,0.714285714285714,15
"230",10,28,13,6,0.461538461538462,1.38461538461538,18
"231",10,29,9,2,0.222222222222222,0.666666666666667,6
"232",10,30,3,1,0.333333333333333,1,3
"233",10,52,1,0,0,0,0
"234",10,74,1,0,0,0,0
"235",11,3,1,1,1,2,2
"236",11,4,4,1,0.25,0.5,2
"237",11,5,5,3,0.6,1.2,6
"238",11,6,9,4,0.444444444444444,0.888888888888889,8
"239",11,7,9,3,0.333333333333333,0.666666666666667,6
"240",11,8,10,4,0.4,0.8,8
"241",11,9,6,2,0.333333333333333,0.666666666666667,4
"242",11,10,2,2,1,2,4
"243",11,11,2,1,0.5,1,2
"244",11,12,3,3,1,2,6
"245",11,13,9,2,0.222222222222222,0.444444444444444,4
"246",11,14,7,3,0.428571428571429,0.857142857142857,6
"247",11,15,8,2,0.25,0.5,4
"248",11,16,8,4,0.5,1,8
"249",11,17,12,6,0.5,1,12
"250",11,18,11,4,0.363636363636364,0.727272727272727,8
"251",11,19,10,4,0.4,0.8,8
"252",11,20,13,10,0.769230769230769,1.53846153846154,20
"253",11,21,10,6,0.6,1.2,12
"254",11,22,11,3,0.272727272727273,0.545454545454545,6
"255",11,23,1,1,1,2,2
"256",11,24,5,1,0.2,0.4,2
"257",11,25,2,1,0.5,1,2
"258",11,26,6,4,0.666666666666667,2,12
"259",11,27,25,11,0.44,1.32,33
"260",11,28,17,6,0.352941176470588,1.05882352941176,18
"261",11,29,13,5,0.384615384615385,1.15384615384615,15
"262",11,30,2,0,0,0,0
"263",11,31,2,1,0.5,1.5,3
"264",11,33,1,0,0,0,0
"265",11,38,1,0,0,0,0
"266",11,44,1,0,0,0,0
"267",11,76,1,0,0,0,0
"268",12,4,1,1,1,2,2
"269",12,5,1,1,1,2,2
"270",12,6,2,2,1,2,4
"271",12,7,6,3,0.5,1,6
"272",12,8,7,3,0.428571428571429,0.857142857142857,6
"273",12,9,5,2,0.4,0.8,4
"274",12,10,5,2,0.4,0.8,4
"275",12,11,3,2,0.666666666666667,1.33333333333333,4
"276",12,12,7,3,0.428571428571429,0.857142857142857,6
"277",12,13,6,2,0.333333333333333,0.666666666666667,4
"278",12,14,4,1,0.25,0.5,2
"279",12,15,5,1,0.2,0.4,2
"280",12,16,11,4,0.363636363636364,0.727272727272727,8
"281",12,17,3,0,0,0,0
"282",12,18,11,3,0.272727272727273,0.545454545454545,6
"283",12,19,13,3,0.230769230769231,0.461538461538462,6
"284",12,20,10,3,0.3,0.6,6
"285",12,21,10,5,0.5,1,10
"286",12,22,11,4,0.363636363636364,0.727272727272727,8
"287",12,23,7,1,0.142857142857143,0.285714285714286,2
"288",12,24,9,1,0.111111111111111,0.222222222222222,2
"289",12,26,5,1,0.2,0.6,3
"290",12,27,15,6,0.4,1.2,18
"291",12,28,22,8,0.363636363636364,1.09090909090909,24
"292",12,29,13,4,0.307692307692308,0.923076923076923,12
"293",12,30,10,1,0.1,0.3,3
"294",12,31,4,1,0.25,0.75,3
"295",12,35,1,0,0,0,0
"296",12,52,1,0,0,0,0
"297",13,4,1,1,1,2,2
"298",13,5,1,1,1,2,2
"299",13,6,5,3,0.6,1.2,6
"300",13,7,8,3,0.375,0.75,6
"301",13,8,9,3,0.333333333333333,0.666666666666667,6
"302",13,9,7,3,0.428571428571429,0.857142857142857,6
"303",13,10,3,0,0,0,0
"304",13,11,4,1,0.25,0.5,2
"305",13,12,6,2,0.333333333333333,0.666666666666667,4
"306",13,13,5,3,0.6,1.2,6
"307",13,14,2,1,0.5,1,2
"308",13,15,8,3,0.375,0.75,6
"309",13,16,7,2,0.285714285714286,0.571428571428571,4
"310",13,17,5,2,0.4,0.8,4
"311",13,18,10,6,0.6,1.2,12
"312",13,19,9,4,0.444444444444444,0.888888888888889,8
"313",13,20,9,6,0.666666666666667,1.33333333333333,12
"314",13,21,12,5,0.416666666666667,0.833333333333333,10
"315",13,22,9,1,0.111111111111111,0.222222222222222,2
"316",13,23,10,4,0.4,0.8,8
"317",13,24,10,3,0.3,0.6,6
"318",13,25,4,1,0.25,0.5,2
"319",13,27,4,1,0.25,0.75,3
"320",13,28,17,8,0.470588235294118,1.41176470588235,24
"321",13,29,13,3,0.230769230769231,0.692307692307692,9
"322",13,30,15,5,0.333333333333333,1,15
"323",13,31,2,1,0.5,1.5,3
"324",13,32,1,0,0,0,0
"325",13,37,1,0,0,0,0
"326",13,43,1,0,0,0,0
"327",14,5,2,1,0.5,1,2
"328",14,6,7,0,0,0,0
"329",14,7,7,6,0.857142857142857,1.71428571428571,12
"330",14,8,6,1,0.166666666666667,0.333333333333333,2
"331",14,9,7,5,0.714285714285714,1.42857142857143,10
"332",14,10,6,3,0.5,1,6
"333",14,11,8,2,0.25,0.5,4
"334",14,12,7,2,0.285714285714286,0.571428571428571,4
"335",14,13,6,3,0.5,1,6
"336",14,14,7,3,0.428571428571429,0.857142857142857,6
"337",14,15,7,1,0.142857142857143,0.285714285714286,2
"338",14,16,6,1,0.166666666666667,0.333333333333333,2
"339",14,17,6,3,0.5,1,6
"340",14,18,9,4,0.444444444444444,0.888888888888889,8
"341",14,19,13,2,0.153846153846154,0.307692307692308,4
"342",14,20,15,5,0.333333333333333,0.666666666666667,10
"343",14,21,16,8,0.5,1,16
"344",14,22,12,3,0.25,0.5,6
"345",14,23,8,2,0.25,0.5,4
"346",14,24,10,2,0.2,0.4,4
"347",14,25,10,2,0.2,0.4,4
"348",14,26,3,0,0,0,0
"349",14,27,3,2,0.666666666666667,2,6
"350",14,28,15,5,0.333333333333333,1,15
"351",14,29,20,5,0.25,0.75,15
"352",14,30,9,2,0.222222222222222,0.666666666666667,6
"353",14,31,8,3,0.375,1.125,9
"354",14,32,4,1,0.25,0.75,3
"355",14,33,1,0,0,0,0
"356",15,4,1,1,1,2,2
"357",15,6,8,6,0.75,1.5,12
